EOS,n_c (fm^-3),M (M_sun),R (km)
AV14+UVII,0.01,0.02694540245179617,12.14304369000001
AV14+UVII,0.03313131313131313,0.08038076371701354,11.869243690000008
AV14+UVII,0.056262626262626264,0.12426917360631361,11.62282369000001
AV14+UVII,0.07939393939393939,0.16187795021142648,11.403783690000008
AV14+UVII,0.10252525252525252,0.19603035658961257,11.21212369000001
AV14+UVII,0.12565656565656566,0.2292299555092186,11.04784369000001
AV14+UVII,0.1487878787878788,0.2637585334959771,10.897253690000008
AV14+UVII,0.17191919191919192,0.301735134788556,10.774043690000008
AV14+UVII,0.19505050505050506,0.3450987823308168,10.678213690000009
AV14+UVII,0.2181818181818182,0.3955378275887988,10.59607369000001
AV14+UVII,0.2413131313131313,0.4543987083036396,10.555003690000008
AV14+UVII,0.2644444444444444,0.522588446870397,10.541313690000008
AV14+UVII,0.2875757575757576,0.6005373497705548,10.555003690000008
AV14+UVII,0.3107070707070707,0.6881907185031098,10.59607369000001
AV14+UVII,0.3338383838383838,0.7850330177209663,10.65083369000001
AV14+UVII,0.356969696969697,0.8901489033383877,10.719283690000008
AV14+UVII,0.3801010101010101,1.002284550206175,10.787733690000008
AV14+UVII,0.4032323232323232,1.1199476442899554,10.86987369000001
AV14+UVII,0.4263636363636364,1.2414603914254063,10.93832369000001
AV14+UVII,0.4494949494949495,1.3650839885782333,11.006773690000008
AV14+UVII,0.4726262626262626,1.4890718962008034,11.061533690000008
AV14+UVII,0.4957575757575758,1.6117532257094498,11.10260369000001
AV14+UVII,0.5188888888888888,1.7316254804680975,11.143673690000009
AV14+UVII,0.5420202020202021,1.8473138532133353,11.171053690000008
AV14+UVII,0.5651515151515152,1.957658990476598,11.171053690000008
AV14+UVII,0.5882828282828283,2.0617972476455146,11.171053690000008
AV14+UVII,0.6114141414141414,2.1590059542327182,11.15736369000001
AV14+UVII,0.6345454545454545,2.248861808344436,11.143673690000009
AV14+UVII,0.6576767676767676,2.330999938066235,11.10260369000001
AV14+UVII,0.6808080808080809,2.4054042827682443,11.061533690000008
AV14+UVII,0.703939393939394,2.472072296805173,11.006773690000008
AV14+UVII,0.7270707070707071,2.5312439866587626,10.952013690000008
AV14+UVII,0.7502020202020202,2.5831175446779215,10.88356369000001
AV14+UVII,0.7733333333333333,2.6280983324795333,10.81511369000001
AV14+UVII,0.7964646464646464,2.666510730108013,10.732973690000009
AV14+UVII,0.8195959595959595,2.6988468383249957,10.65083369000001
AV14+UVII,0.8427272727272728,2.725559545988177,10.568693690000009
AV14+UVII,0.8658585858585859,2.7470722206364706,10.486553690000008
AV14+UVII,0.888989898989899,2.763772680223838,10.390723690000007
AV14+UVII,0.9121212121212121,2.776130545176999,10.294893690000007
AV14+UVII,0.9352525252525252,2.7845694605238402,10.199063690000008
AV14+UVII,0.9583838383838383,2.7895963284510157,10.116923690000007
AV14+UVII,0.9815151515151516,2.7913604176871076,10.021093690000008
AV14+UVII,1.0046464646464646,2.790293527183362,9.925263690000008
AV14+UVII,1.0277777777777777,2.7867076254063257,9.829433690000007
AV14+UVII,1.050909090909091,2.780889423337286,9.733603690000008
AV14+UVII,1.0740404040404041,2.7731011658141886,9.637773690000008
AV14+UVII,1.0971717171717172,2.763578905668564,9.541943690000007
AV14+UVII,1.1203030303030304,2.7525337801967242,9.446113690000008
AV14+UVII,1.1434343434343435,2.740149957172092,9.350283690000008
AV14+UVII,1.1665656565656566,2.7267862410374755,9.268143690000008
AV14+UVII,1.1896969696969697,2.712301428090742,9.172313690000006
AV14+UVII,1.2128282828282828,2.6971150044832997,9.090173690000006
AV14+UVII,1.235959595959596,2.6810703419371853,8.994343690000006
AV14+UVII,1.259090909090909,2.664622726609183,8.912203690000007
AV14+UVII,1.2822222222222222,2.647686197504282,8.830063690000006
AV14+UVII,1.3053535353535353,2.630367655086062,8.747923690000006
AV14+UVII,1.3284848484848484,2.6127515447609864,8.665783690000007
AV14+UVII,1.3516161616161617,2.595074972956673,8.597333690000006
AV14+UVII,1.3747474747474748,2.577151472655641,8.515193690000006
AV14+UVII,1.397878787878788,2.559259237574582,8.446743690000007
AV14+UVII,1.421010101010101,2.54125144930319,8.364603690000006
